sample	assembly_rDNA_Mb	longest_stretch_Mb	cn45	implied_Mb	fraction	mean_array_Mb
HG01255	8.293	0.589	379.7	17.02	0.487	1.7
HG01258	8.977	0.818	548.2	24.58	0.365	2.46
HG01261	8.768	0.809	525.7	23.57	0.372	2.36
HG01346	6.967	0.637	461.0	20.67	0.337	2.07
HG01358	7.901	0.505	534.9	23.98	0.329	2.4
HG01361	8.1	0.63	394.6	17.69	0.458	1.77
HG01433	9.239	0.733	552.3	24.77	0.373	2.48
HG01496	7.677	0.889	383.9	17.21	0.446	1.72
HG01530	8.266	0.497	471.5	21.14	0.391	2.11
HG01784	9.688	1.446	407.0	18.25	0.531	1.82
HG01786	11.215	0.73	457.5	20.51	0.547	2.05
HG01884	7.938	0.543	545.5	24.46	0.325	2.45
HG01891	5.575	0.323	379.6	17.02	0.328	1.7
HG01928	7.038	0.517	385.5	17.29	0.407	1.73
HG01934	7.64	0.676	551.0	24.71	0.309	2.47
HG01940	5.394	0.502	371.8	16.67	0.324	1.67
HG01943	6.955	0.411	460.1	20.63	0.337	2.06
HG01952	8.948	0.685	621.5	27.87	0.321	2.79
HG01960	6.863	0.63	431.2	19.33	0.355	1.93
HG01969	9.922	1.021	457.7	20.52	0.483	2.05
HG01975	7.281	0.545	447.8	20.08	0.363	2.01
HG01978	10.066	0.835	574.2	25.75	0.391	2.57
HG01981	8.653	0.731	639.9	28.69	0.302	2.87
HG01993	10.201	0.764	478.7	21.46	0.475	2.15
HG02004	6.187	0.711	383.8	17.21	0.36	1.72
HG02015	7.416	0.322	616.8	27.66	0.268	2.77
HG02027	6.186	0.682	433.8	19.45	0.318	1.95
HG02040	10.374	1.09	509.3	22.84	0.454	2.28
HG02056	6.985	0.441	413.4	18.54	0.377	1.85
HG02071	7.933	0.441	542.6	24.33	0.326	2.43
HG02074	7.541	0.5	432.1	19.38	0.389	1.94
HG02083	7.506	1.072	395.2	17.72	0.424	1.77
HG02129	7.62	0.825	498.2	22.34	0.341	2.23
HG02132	6.164	0.569	364.4	16.34	0.377	1.63
HG02135	10.739	0.807	795.2	35.66	0.301	3.57
HG02148	7.249	0.687	600.8	26.94	0.269	2.69
HG02155	11.354	0.83	523.2	23.46	0.484	2.35
HG02165	9.746	0.602	465.9	20.89	0.467	2.09
HG02178	6.116	1.421	275.3	12.34	0.495	1.23
HG02257	6.308	0.625	406.3	18.22	0.346	1.82
HG02258	6.626	0.854	361.4	16.21	0.409	1.62
HG02273	12.124	0.947	501.9	22.5	0.539	2.25
HG02280	9.034	0.668	528.5	23.7	0.381	2.37
HG02293	7.763	0.723	541.1	24.26	0.32	2.43
HG02300	7.544	0.408	594.6	26.66	0.283	2.67
HG02391	17.612	1.699	553.5	24.82	0.71	2.48
HG02392	10.651	0.613	574.8	25.77	0.413	2.58
HG02451	7.567	0.685	482.3	21.63	0.35	2.16
HG02514	7.415	0.957	673.1	30.18	0.246	3.02
HG02523	8.698	0.496	549.5	24.64	0.353	2.46
HG02572	7.295	0.502	524.1	23.5	0.31	2.35
