assembly	n_18S	n_28S	n_full_units	n_5S_units	n_5S_arrays	largest_5S_array	largest_5S_left	largest_5S_right	DJ_copy_eq	n_DJ_copies	n_arrays	n_arrays_ge2	n_arrays_ge10	largest_array	n_closed	units_in_closed	n_closed_DJ	n_periods	n_periods_identical	period_median	n_periods_outside_40_50kb	sides_contig_end	sides_gap	sides_flank	person	haplotype	method	version	phasing	source	censat_rdna_bp	group
HG03453_mat_hprc_r2_v1.0.1	127	123	81	144	1	144	flank	flank	4.886	5	54	36	0	7	0	0	0	73	0	44316.0	0	100	0	8	HG03453	mat	hifiasm	0.19.7	trio	hprc	3739647.0	hifiasm trio (0.19.7)
HG03704_pat_hprc_r2_v1.0.1	101	94	72	137	1	137	flank	flank	5.029	5	24	19	2	13	1	12	1	77	0	44882.0	1	38	0	10	HG03704	pat	hifiasm	0.19.7	trio	hprc	3750656.0	hifiasm trio (0.19.7)
HG02080_pat_hprc_r2_v1.0.1	142	140	93	98	1	98	flank	flank	4.964	5	44	32	2	23	1	5	1	98	0	44909.5	0	78	0	10	HG02080	pat	hifiasm	0.19.9	trio	hprc	4710110.0	hifiasm trio (0.19.9)
chm13v2.0_maskedY_rCRS	223	219	126	125	1	125	flank	flank	4.825	5	5	5	5	77	5	223	5	218	195	44787.0	0	0	0	10	CHM13	ref				extramural	9928083.0	reference
HG00321_hap1_hprc_r2_v1.0.1	148	143	113	111	1	111	flank	flank	6.108	6	31	25	4	17	1	2	1	117	0	44859.0	6	51	0	11	HG00321	hap1	hifiasm	0.19.9	hic	hprc	5684702.0	hifiasm Hi-C (0.19.8-9)
HG02723_pat_hprc_r2_v1.0.1	106	96	64	134	1	134	flank	flank	3.939	4	26	19	2	13	1	3	1	80	0	44903.5	2	42	0	10	HG02723	pat	hifiasm	0.19.9	trio	hprc	3633893.0	hifiasm trio (0.19.9)
HG01952_pat_hprc_r2_v1.0.1	138	130	106	97	1	97	flank	flank	4.957	5	34	29	2	16	0	0	0	104	0	44871.5	1	58	0	10	HG01952	pat	hifiasm	0.19.7	trio	hprc	5086681.0	hifiasm trio (0.19.7)
NA18944_hap2_hprc_r2_v1.0.1	145	141	86	84	1	84	flank	flank	3.042	3	33	29	3	13	1	8	1	112	0	44833.5	9	56	2	8	NA18944	hap2	hifiasm	0.19.8	hic	hpp	4749632.0	hifiasm Hi-C (0.19.8-9)
HG03834_mat_hprc_r2_v1.0.1	102	100	70	78	1	78	flank	flank	4.784	5	30	24	1	19	1	19	1	72	0	44772.0	1	50	0	10	HG03834	mat	hifiasm	0.19.7	trio	hprc	3076941.0	hifiasm trio (0.19.7)
HG02300_mat_hprc_r2_v1.0.1	103	94	61	100	1	100	flank	flank	5.353	5	38	25	0	8	0	0	0	65	0	44862.0	5	66	1	9	HG02300	mat	hifiasm	0.19.7	trio	hprc	3288422.0	hifiasm trio (0.19.7)
NA18505_hap2_hprc_r2_v1.0.1	120	115	100	231	1	231	flank	flank	6.928	7	25	20	3	13	0	0	0	95	2	44789.0	1	35	4	11	NA18505	hap2	hifiasm	0.19.9	hic	hprc	4802631.0	hifiasm Hi-C (0.19.8-9)
HG01975_mat_hprc_r2_v1.0.1	123	119	88	101	1	101	flank	flank	5.068	5	31	26	3	13	1	2	1	92	0	44838.5	3	53	1	8	HG01975	mat	hifiasm	0.19.7	trio	hprc	4322922.0	hifiasm trio (0.19.7)
HG01891_pat_hprc_r2_v1.0.1	100	98	76	114	1	114	flank	flank	4.97	5	31	25	0	8	1	5	1	69	0	44822.0	4	52	0	10	HG01891	pat	hifiasm	0.19.7	trio	hprc	3564150.0	hifiasm trio (0.19.7)
HG02965_hap1_hprc_r2_v1.0.1	142	140	95	100	1	100	flank	flank	2.355	2	32	28	4	14	1	2	1	110	2	44530.0	14	57	0	7	HG02965	hap1	hifiasm	0.19.9	hic	hprc	4811734.0	hifiasm Hi-C (0.19.8-9)
HG02280_pat_hprc_r2_v1.0.1	106	105	83	108	1	108	flank	flank	5.039	5	29	21	3	12	1	12	1	77	0	44853.0	0	46	2	10	HG02280	pat	hifiasm	0.19.7	trio	hprc	4054977.0	hifiasm trio (0.19.7)
NA20809_hap2_hprc_r2_v1.0.1	95	91	70	106	1	106	flank	flank	3.08	3	26	22	2	11	0	0	0	69	0	44809.0	1	45	0	7	NA20809	hap2	hifiasm	0.19.9	hic	hprc	2974431.0	hifiasm Hi-C (0.19.8-9)
HG00621_mat_hprc_r2_v1.0.1	107	98	80	67	1	67	flank	flank	4.922	5	24	20	3	19	2	30	2	83	0	44943.0	1	38	0	10	HG00621	mat	hifiasm	0.19.7	trio	hprc	3980604.0	hifiasm trio (0.19.7)
HG01109_mat_hprc_r2_v1.0.1	103	101	77	160	1	160	flank	flank	4.997	5	41	26	0	9	1	6	1	62	0	44870.5	1	73	0	9	HG01109	mat	hifiasm	0.19.9	trio	hprc	3323544.0	hifiasm trio (0.19.9)
HG00329_hap1_hprc_r2_v1.0.1	87	82	69	140	1	140	flank	flank	4.261	4	18	17	2	12	3	11	3	69	0	44791.0	1	27	0	9	HG00329	hap1	hifiasm	0.19.9	hic	hprc	3389389.0	hifiasm Hi-C (0.19.8-9)
HG02818_pat_hprc_r2_v1.0.1	72	66	37	148	1	148	flank	flank	4.042	4	25	19	1	10	1	10	1	46	0	44219.5	0	41	0	9	HG02818	pat	hifiasm	0.19.9	trio	hprc	2438552.0	hifiasm trio (0.19.9)
HG04157_mat_hprc_r2_v1.0.1	89	87	74	130	1	130	flank	flank	5.03	5	20	15	4	14	0	0	0	69	0	44893.0	0	30	0	10	HG04157	mat	hifiasm	0.19.9	trio	hprc	3453860.0	hifiasm trio (0.19.9)
hg002v1.1.pat	33	28	25	69	1	69	flank	flank	4.869	5	9	8	0	7	1	7	1	24	2	44296.5	0	0	8	10	HG002	pat	verkko	1.1	trio	extramural	1376627.0	reference
NA18565_hap1_hprc_r2_v1.0.1	86	83	65	129	1	129	flank	flank	4.04	4	23	20	1	11	2	3	2	63	0	44778.0	2	35	2	9	NA18565	hap1	hifiasm	0.19.9	hic	hprc	3246500.0	hifiasm Hi-C (0.19.8-9)
HG02148_mat_hprc_r2_v1.0.1	62	59	44	108	1	108	flank	flank	4.438	4	24	13	0	7	0	0	0	38	0	44784.5	0	41	0	7	HG02148	mat	hifiasm	0.19.7	trio	hprc	2138480.0	hifiasm trio (0.19.7)
NA20850_hap2_hprc_r2_v1.0.1	93	89	67	62	1	62	flank	flank	3.283	3	28	21	2	11	1	5	1	65	0	44464.0	1	48	0	8	NA20850	hap2	hifiasm	0.19.9	hic	hprc	3313850.0	hifiasm Hi-C (0.19.8-9)
HG02027_mat_hprc_r2_v1.0.1	90	84	63	159	1	159	flank	flank	4.994	5	26	20	2	14	0	0	0	64	0	44954.5	3	40	2	10	HG02027	mat	hifiasm	0.19.7	trio	hprc	3007511.0	hifiasm trio (0.19.7)
HG01258_mat_hprc_r2_v1.0.1	162	157	124	74	1	74	flank	flank	5.718	5	40	31	4	18	1	18	1	122	4	44363.5	1	70	0	10	HG01258	mat	hifiasm	0.19.7	trio	hprc	6012477.0	hifiasm trio (0.19.7)
NA20129_mat_hprc_r2_v1.0.1	103	99	62	128	1	128	flank	flank	4.916	5	24	22	2	13	1	8	1	79	0	44739.0	1	38	0	10	NA20129	mat	hifiasm	0.19.9	trio	hprc	3849953.0	hifiasm trio (0.19.9)
HG00438_pat_hprc_r2_v1.0.1	123	115	91	113	1	113	flank	flank	4.907	5	34	26	1	11	1	5	1	89	0	44912.0	0	56	2	10	HG00438	pat	hifiasm	0.19.9	trio	hprc	4151195.0	hifiasm trio (0.19.9)
HG00738_mat_hprc_r2_v1.0.1	72	66	49	102	1	102	flank	flank	5.111	5	26	18	1	12	2	18	2	46	0	44875.0	3	44	0	8	HG00738	mat	hifiasm	0.19.7	trio	hprc	2364574.0	hifiasm trio (0.19.7)
HG00140_hap2_hprc_r2_v1.0.1	145	141	115	47	1	47	flank	flank	5.957	6	26	21	5	16	2	15	2	119	0	44938.0	3	38	3	11	HG00140	hap2	hifiasm	0.19.9	hic	hprc	5806035.0	hifiasm Hi-C (0.19.8-9)
HG04199_pat_hprc_r2_v1.0.1	129	127	81	63	1	63	flank	flank	5.072	5	38	25	2	13	2	17	2	91	0	44420.0	6	66	0	10	HG04199	pat	hifiasm	0.19.7	trio	hprc	4583967.0	hifiasm trio (0.19.7)
HG01784_hap1_hprc_r2_v1.0.1	147	142	114	85	1	85	flank	flank	5.092	5	23	21	4	33	2	11	2	124	2	44848.0	1	36	0	10	HG01784	hap1	hifiasm	0.19.9	hic	hprc	5840195.0	hifiasm Hi-C (0.19.8-9)
HG01074_mat_hprc_r2_v1.0.1	125	121	109	55	1	55	flank	flank	4.997	5	31	24	2	17	0	0	0	94	0	44904.0	0	50	2	10	HG01074	mat	hifiasm	0.19.9	trio	hprc	4741409.0	hifiasm trio (0.19.9)
HG01433_pat_hprc_r2_v1.0.1	136	132	89	88	1	88	flank	flank	6.009	6	42	30	4	15	1	11	1	94	0	44889.5	6	71	2	11	HG01433	pat	hifiasm	0.19.7	trio	hprc	4773923.0	hifiasm trio (0.19.7)
HG01940_pat_hprc_r2_v1.0.1	74	70	62	100	1	100	flank	flank	5.081	5	19	16	0	9	1	7	1	55	0	44819.0	0	29	0	9	HG01940	pat	hifiasm	0.19.9	trio	hprc	2775690.0	hifiasm trio (0.19.9)
HG00673_mat_hprc_r2_v1.0.1	52	49	32	110	1	110	flank	flank	4.929	5	14	12	1	10	3	8	3	38	0	44873.0	0	18	0	10	HG00673	mat	hifiasm	0.19.9	trio	hprc	1684363.0	hifiasm trio (0.19.9)
HG02040_hap1_hprc_r2_v1.0.1	146	139	101	71	1	71	flank	flank	3.43	3	27	21	4	24	1	17	1	119	2	44882.0	8	47	0	7	HG02040	hap1	hifiasm	0.19.9	hic	hprc	5804734.0	hifiasm Hi-C (0.19.8-9)
HG01943_mat_hprc_r2_v1.0.1	104	99	66	52	1	52	flank	flank	4.796	4	22	19	0	9	2	16	2	82	0	44835.0	4	35	0	9	HG01943	mat	hifiasm	0.19.9	trio	hprc	3776216.0	hifiasm trio (0.19.9)
HG02178_hap1_hprc_r2_v1.0.1	88	87	54	113	1	113	flank	flank	3.359	3	12	11	2	33	1	13	1	76	2	44088.0	10	17	0	7	HG02178	hap1	hifiasm	0.19.9	hic	hprc	3545794.0	hifiasm Hi-C (0.19.8-9)
HG00408_mat_hprc_r2_v1.0.1	119	110	75	66	1	66	flank	flank	4.95	5	26	23	2	24	0	0	0	93	0	44935.0	6	40	2	10	HG00408	mat	hifiasm	0.19.7	trio	hprc	4705200.0	hifiasm trio (0.19.7)
HG02129_mat_hprc_r2_v1.0.1	122	118	82	93	1	93	flank	flank	5.106	5	34	24	2	19	1	2	1	88	0	44887.5	1	56	2	10	HG02129	mat	hifiasm	0.19.7	trio	hprc	4018551.0	hifiasm trio (0.19.7)
HG03816_pat_hprc_r2_v1.0.1	109	105	79	36	1	36	flank	flank	5.013	5	34	24	2	11	1	3	1	75	0	44808.0	1	56	2	10	HG03816	pat	hifiasm	0.19.9	trio	hprc	4009180.0	hifiasm trio (0.19.9)
HG02809_mat_hprc_r2_v1.0.1	176	172	148	106	1	106	flank	flank	4.978	5	48	36	2	12	0	0	0	128	0	44939.0	1	86	0	10	HG02809	mat	hifiasm	0.19.9	trio	hprc	6357887.0	hifiasm trio (0.19.9)
HG03139_hap2_hprc_r2_v1.0.1	135	138	120	135	2	69	contig_end	flank	3.141	3	26	19	5	14	3	28	2	109	4	44379.0	3	42	0	10	HG03139	hap2	hifiasm	0.19.9	hic	hprc	5384642.0	hifiasm Hi-C (0.19.8-9)
