assembly_name	status	n_regions	bp_extracted	est_bytes_fetched	seconds	bp_rdna_censat	bp_acro_parm	bp_unplaced_rdna	bp_5S_locus	n_acro_contigs_taken	n_acro_contigs_skipped	n_orientation_reversed	n_orientation_conflict	sequence_refetched	unplaced_tilescan_added	n_unplaced_tilescan_added	5S_method	5S_contig	5S_core	5S_left	5S_right	notes
HG02602_pat_hprc_r2_v1.0.1	ok	39	85894645	19396361	27.9	82523794	81145385	1975600	758384	14	2	5	0	True	HG02602#1#JBJUVK010000040.1,HG02602#1#JBJUVK010000046.1,HG02602#1#JBJUVK010000080.1,HG02602#1#JBJUVK010000088.1,HG02602#1#JBJUVK010000096.1	5	chain_both_flanks	HG02602#1#JBJUVK010000060.1	87035059-87193443	HG02602#1#JBJUVK010000060.1:86876797-87035059(+,158162bp)	HG02602#1#JBJUVK010000060.1:87193443-87393080(+,199536bp)	5 unplaced contig(s) without CenSat rDNA label added by tile screen (5 screened, 552999 bp)
HG04187_pat_hprc_r2_v1.0.1	ok	65	81044335	20575997	44.2	75833537	69617151	8570747	841160	20	0	8	0	True	HG04187#1#JBJUVO010000019.1,HG04187#1#JBJUVO010000020.1,HG04187#1#JBJUVO010000040.1,HG04187#1#JBJUVO010000099.1,HG04187#1#JBJUVO010000110.1	5	chain_both_flanks	HG04187#1#CM099739.1	222482723-222723883	HG04187#1#CM099739.1:222324513-222482723(+,158126bp)	HG04187#1#CM099739.1:222723883-222924139(+,199516bp)	5 unplaced contig(s) without CenSat rDNA label added by tile screen (9 screened, 6855536 bp)
NA18879_hap1_hprc_r2_v1.0.1	ok	39	94771433	20573438	32.6	88488332	79522603	12405513	828041	18	4	4	0	True	NA18879#1#JBJUVM010000027.1	1	chain_both_flanks	NA18879#1#JBJUVM010000011.1	230876919-231104960	NA18879#1#JBJUVM010000011.1:230718664-230876919(+,158160bp)	NA18879#1#JBJUVM010000011.1:231104960-231305007(+,199354bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 3458158 bp)
NA20752_hap1_hprc_r2_v1.0.1	ok	44	80990556	18734163	25.0	79822820	72229943	6374481	773915	17	1	7	0	True	NA20752#1#JBJUVQ010000029.1	1	chain_both_flanks	NA20752#1#JBJUVQ010000007.1	93243856-93417771	NA20752#1#JBJUVQ010000007.1:93085532-93243856(+,158224bp)	NA20752#1#JBJUVQ010000007.1:93417771-93617388(+,199588bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 320745 bp)
HG02145_pat_hprc_r2_v1.0.1	ok	56	88758410	21528923	24.6	75541744	79351318	7075107	758488	17	4	4	0	True	HG02145#1#JAHKSG020000029.1,HG02145#1#JAHKSG020000043.1,HG02145#1#JAHKSG020000123.1	3	chain_both_flanks	HG02145#1#JAHKSG020000002.1	89396299-89554787	HG02145#1#JAHKSG020000002.1:89238008-89396299(+,158200bp)	HG02145#1#JAHKSG020000002.1:89554787-89755113(+,199493bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (7 screened, 4263770 bp)
HG00609_pat_hprc_r2_v1.0.1	ok	46	86339143	21140561	36.1	73363002	75280024	8308034	735808	13	3	4	0	True	HG00609#1#JBHDRX010000036.1,HG00609#1#JBHDRX010000074.1	2	chain_both_flanks	HG00609#1#CM086346.1	229176798-229312606	HG00609#1#CM086346.1:229018473-229176798(+,158212bp)	HG00609#1#CM086346.1:229312606-229512890(+,199481bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 240333 bp)
HG00642_pat_hprc_r2_v1.0.1	ok	34	83386894	19811847	30.4	70418424	74236602	6424362	710653	10	3	1	0	True	HG00642#1#JBHDST010000054.1	1	chain_both_flanks	HG00642#1#JBHDST010000014.1	91741339-91851992	HG00642#1#JBHDST010000014.1:91584551-91741339(+,156758bp)	HG00642#1#JBHDST010000014.1:91851992-92051602(+,199577bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 2337420 bp)
HG00738_pat_hprc_r2_v1.0.1	ok	42	82026421	18468706	33.4	54728920	71106066	8148974	756104	13	0	4	0	True	HG00738#1#JBHDSX010000020.1	1	chain_both_flanks	HG00738#1#CM086644.1	228679031-228835135	HG00738#1#CM086644.1:228520695-228679031(+,158289bp)	HG00738#1#CM086644.1:228835135-229035491(+,199493bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 1439064 bp)
HG01099_pat_hprc_r2_v1.0.1	ok	37	85077438	18131156	26.9	82979795	74460208	7985630	738424	13	4	4	0	True	HG01099#1#JBHDRP010000026.1	1	chain_both_flanks	HG01099#1#CM086256.1	226997874-227136298	HG01099#1#CM086256.1:226839545-226997874(+,158211bp)	HG01099#1#CM086256.1:227136298-227335925(+,199581bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 123721 bp)
HG01255_pat_hprc_r2_v1.0.1	ok	43	99181693	24264912	2.9	86080178	84944211	11405846	816359	13	1	4	0	False		0	chain_both_flanks	HG01255#1#CM086702.1	233094360-233310719	HG01255#1#CM086702.1:232936035-233094360(+,158219bp)	HG01255#1#CM086702.1:233310719-233510368(+,199556bp)	
HG01346_pat_hprc_r2_v1.0.1	ok	39	85889039	20930817	26.2	85084953	80439133	2711649	688868	13	1	5	0	True	HG01346#1#JBHDSR010000043.1,HG01346#1#JBHDSR010000083.1	2	chain_both_flanks	HG01346#1#JBHDSR010000015.1	91742912-91831780	HG01346#1#JBHDSR010000015.1:91584580-91742912(+,158231bp)	HG01346#1#JBHDSR010000015.1:91831780-92031389(+,199579bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 2865657 bp)
HG01433_pat_hprc_r2_v1.0.1	ok	47	82253448	19141019	32.2	81173047	70322265	9117395	798511	17	4	5	1	True	HG01433#1#JBHDSJ010000085.1	1	chain_both_flanks	HG01433#1#JBHDSJ010000057.1	88333816-88532327	HG01433#1#JBHDSJ010000057.1:88175491-88333816(+,158215bp)	HG01433#1#JBHDSJ010000057.1:88532327-88731954(+,199580bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 499562 bp)
HG01496_pat_hprc_r2_v1.0.1	ok	39	91893541	22433293	20.1	78993783	78640596	10913574	727143	9	6	3	0	True	HG01496#1#JBHDRZ010000039.1,HG01496#1#JBHDRZ010000099.1	2	chain_both_flanks	HG01496#1#JBHDRZ010000006.1	92569969-92697112	HG01496#1#JBHDRZ010000006.1:92411646-92569969(+,158225bp)	HG01496#1#JBHDRZ010000006.1:92697112-92897066(+,199503bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 2379785 bp)
HG01884_pat_hprc_r2_v1.0.1	ok	56	93132464	20552617	32.2	78836354	78570358	12117754	832124	19	1	8	0	True	HG01884#1#JBHDSB010000015.1,HG01884#1#JBHDSB010000026.1,HG01884#1#JBHDSB010000073.1,HG01884#1#JBHDSB010000074.1	4	chain_both_flanks	HG01884#1#CM086402.1	227743631-227975755	HG01884#1#CM086402.1:227585386-227743631(+,158170bp)	HG01884#1#CM086402.1:227975755-228176318(+,199510bp)	4 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 334754 bp)
HG01981_pat_hprc_r2_v1.0.1	ok	44	80975742	19283936	25.3	75822192	67675170	10851680	836664	13	1	4	0	True	HG01981#1#JBHDRV010000015.1	1	chain_both_flanks	HG01981#1#JBHDRV010000005.1	103547982-103784646	HG01981#1#JBHDRV010000005.1:103389618-103547982(+,158251bp)	HG01981#1#JBHDRV010000005.1:103784646-103984356(+,199519bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 3206526 bp)
HG01993_pat_hprc_r2_v1.0.1	ok	40	104866999	25783795	28.4	95110691	96513575	5949375	791821	19	2	3	1	True	HG01993#1#JBHDSL010000031.1,HG01993#1#JBHDSL010000049.1,HG01993#1#JBHDSL010000053.1	3	chain_both_flanks	HG01993#1#JBHDSL010000005.1	83431517-83623338	HG01993#1#JBHDSL010000005.1:83273191-83431517(+,158230bp)	HG01993#1#JBHDSL010000005.1:83623338-83823237(+,199545bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 3389625 bp)
HG02004_pat_hprc_r2_v1.0.1	ok	42	84654935	18772029	34.1	77178192	73622323	8599542	820842	16	0	4	0	True	HG02004#1#JBHDRT010000029.1,HG02004#1#JBHDRT010000062.1,HG02004#1#JBHDRT010000075.1	3	chain_both_flanks	HG02004#1#CM086301.1	223222784-223443626	HG02004#1#CM086301.1:223064438-223222784(+,158235bp)	HG02004#1#CM086301.1:223443626-223643269(+,199579bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (4 screened, 3939952 bp)
HG02027_pat_hprc_r2_v1.0.1	ok	33	78105147	18065824	4.6	75152084	67298138	7885939	905793	13	3	4	0	False		0	chain_both_flanks	HG02027#1#JBHDTX010000134.1	81794417-82100210	HG02027#1#JBHDTX010000134.1:81636132-81794417(+,158195bp)	HG02027#1#JBHDTX010000134.1:82100210-82300545(+,199528bp)	
HG02083_pat_hprc_r2_v1.0.1	ok	38	85308392	18732552	3.5	71766532	74367058	8183485	742572	16	1	4	0	False		0	chain_both_flanks	HG02083#1#CM086951.1	220593518-220736090	HG02083#1#CM086951.1:220435240-220593518(+,158203bp)	HG02083#1#CM086951.1:220736090-220935747(+,199538bp)	
HG02132_pat_hprc_r2_v1.0.1	ok	29	78910226	18230443	3.0	66017500	74496292	1647246	751411	10	0	1	0	False		0	chain_both_flanks	HG02132#1#JBHDTR010000003.1	87556048-87707459	HG02132#1#JBHDTR010000003.1:87397730-87556048(+,158240bp)	HG02132#1#JBHDTR010000003.1:87707459-87907790(+,199501bp)	
HG02280_pat_hprc_r2_v1.0.1	ok	39	82141377	18662451	2.3	68189255	78698401	1389221	844598	21	2	5	0	False		0	chain_both_flanks	HG02280#1#JBHDRR010000008.1	90239354-90483952	HG02280#1#JBHDRR010000008.1:90082704-90239354(+,156607bp)	HG02280#1#JBHDRR010000008.1:90483952-90684329(+,199508bp)	
HG02293_pat_hprc_r2_v1.0.1	ok	54	77491986	18360604	28.5	69772558	64080784	10774426	812059	17	1	3	0	True	HG02293#1#JBHDRN010000033.1,HG02293#1#JBHDRN010000054.1,HG02293#1#JBHDRN010000084.1	3	chain_both_flanks	HG02293#1#JBHDRN010000007.1	93861214-94073273	HG02293#1#JBHDRN010000007.1:93702907-93861214(+,158228bp)	HG02293#1#JBHDRN010000007.1:94073273-94273645(+,199513bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (7 screened, 7299553 bp)
HG02300_pat_hprc_r2_v1.0.1	ok	56	80655848	20176903	49.6	59924482	68711640	9533419	798560	24	2	3	0	True	HG02300#1#JBHDSD010000031.1,HG02300#1#JBHDSD010000071.1,HG02300#1#JBHDSD010000091.1,HG02300#1#JBHDSD010000099.1	4	chain_both_flanks	HG02300#1#JBHDSD010000017.1	89443602-89642162	HG02300#1#JBHDSD010000017.1:89285288-89443602(+,158218bp)	HG02300#1#JBHDSD010000017.1:89642162-89841791(+,199580bp)	4 unplaced contig(s) without CenSat rDNA label added by tile screen (9 screened, 11310309 bp)
HG02451_pat_hprc_r2_v1.0.1	ok	50	91272860	20130126	25.5	76925379	82247136	6699821	1116745	22	1	3	0	True	HG02451#1#JBHDRJ010000093.1	1	chain_both_flanks	HG02451#1#JBHDRJ010000003.1	88569221-89085966	HG02451#1#JBHDRJ010000003.1:88410861-88569221(+,158250bp)	HG02451#1#JBHDRJ010000003.1:89085966-89286222(+,199452bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 63781 bp)
HG02523_pat_hprc_r2_v1.0.1	ok	45	77473427	18103385	6.5	74944958	72345885	2729971	785343	20	0	9	0	False		0	chain_both_flanks	HG02523#1#JBHDTT010000058.1	225795156-225980499	HG02523#1#JBHDTT010000058.1:225636808-225795156(+,158232bp)	HG02523#1#JBHDTT010000058.1:225980499-226180202(+,199577bp)	
HG02615_pat_hprc_r2_v1.0.1	ok	38	80341548	17115168	0.5	79463074	69888683	8447553	796154	10	1	2	0	False		0	chain_both_flanks	HG02615#1#JBHDSZ010000008.1	120358453-120554607	HG02615#1#JBHDSZ010000008.1:120200115-120358453(+,158242bp)	HG02615#1#JBHDSZ010000008.1:120554607-120754599(+,199503bp)	
HG02647_pat_hprc_r2_v1.0.1	ok	44	89577813	19516790	28.8	76191485	82071886	4656217	834434	17	2	5	0	True	HG02647#1#JBHDSP010000048.1	1	chain_both_flanks	HG02647#1#CM086554.1	224044713-224279147	HG02647#1#CM086554.1:223886389-224044713(+,158251bp)	HG02647#1#CM086554.1:224279147-224479123(+,199485bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 66502 bp)
HG02698_pat_hprc_r2_v1.0.1	ok	45	100688325	25130100	21.3	72755403	79655997	18196008	754017	14	2	0	0	True	HG02698#1#JBHDTL010000086.1	1	chain_both_flanks	HG02698#1#JBHDTL010000013.1	90482810-90636827	HG02698#1#JBHDTL010000013.1:90324567-90482810(+,158141bp)	HG02698#1#JBHDTL010000013.1:90636827-90836563(+,199398bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 51992 bp)
HG03654_pat_hprc_r2_v1.0.1	ok	39	107162507	25416851	44.7	77984269	92940430	11417385	789415	17	0	3	0	True	HG03654#1#JBHDTN010000039.1	1	chain_both_flanks	HG03654#1#JBHDTN010000013.1	70981179-71170594	HG03654#1#JBHDTN010000013.1:70822839-70981179(+,158235bp)	HG03654#1#JBHDTN010000013.1:71170594-71370277(+,199605bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 74588 bp)
HG03669_pat_hprc_r2_v1.0.1	ok	70	98569278	24148916	25.3	77636102	90176356	6020363	760331	23	1	4	1	True	HG03669#1#JBHDTD010000032.1,HG03669#1#JBHDTD010000077.1,HG03669#1#JBHDTD010000101.1,HG03669#1#JBHDTD010000118.1	4	chain_both_flanks	HG03669#1#CM086729.1	226039441-226199772	HG03669#1#CM086729.1:225881099-226039441(+,158226bp)	HG03669#1#CM086729.1:226199772-226399370(+,199560bp)	4 unplaced contig(s) without CenSat rDNA label added by tile screen (5 screened, 2661054 bp)
HG03688_pat_hprc_r2_v1.0.1	ok	27	75337450	17601535	2.6	74358372	70532208	1924359	865611	14	3	5	0	False		0	chain_both_flanks	HG03688#1#CM086800.1	230916145-231181756	HG03688#1#CM086800.1:230757815-230916145(+,158251bp)	HG03688#1#CM086800.1:231181756-231381443(+,199607bp)	
HG03704_pat_hprc_r2_v1.0.1	ok	30	87503029	18846349	0.5	74594313	77831498	7150587	908716	11	1	4	0	False		0	chain_both_flanks	HG03704#1#JBHDRL010000004.1	79818159-80126875	HG03704#1#JBHDRL010000004.1:79659793-79818159(+,158249bp)	HG03704#1#JBHDRL010000004.1:80126875-80327307(+,199512bp)	
HG03710_pat_hprc_r2_v1.0.1	ok	56	92958309	22744479	26.3	66575981	82861444	7645723	838925	22	2	5	1	True	HG03710#1#JBHDTP010000041.1	1	chain_both_flanks	HG03710#1#CM086866.1	219797344-220036269	HG03710#1#CM086866.1:219639094-219797344(+,158161bp)	HG03710#1#CM086866.1:220036269-220235906(+,199534bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 3058794 bp)
HG03831_pat_hprc_r2_v1.0.1	ok	37	80479603	19498103	17.9	72635993	72923892	5106956	836528	14	2	5	0	True	HG03831#1#JBHDSN010000052.1	1	chain_both_flanks	HG03831#1#CM086523.1	223643873-223880401	HG03831#1#CM086523.1:223485519-223643873(+,158243bp)	HG03831#1#CM086523.1:223880401-224080685(+,199479bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 3286555 bp)
HG03927_pat_hprc_r2_v1.0.1	ok	37	90312113	19625728	33.4	76807535	83091108	4852534	756243	20	0	6	1	True	HG03927#1#JBHDSV010000044.1	1	chain_both_flanks	HG03927#1#CM086633.1	222240699-222396942	HG03927#1#CM086633.1:222082373-222240699(+,158213bp)	HG03927#1#CM086633.1:222396942-222596618(+,199625bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 369218 bp)
HG04115_pat_hprc_r2_v1.0.1	ok	34	94952196	22365338	0.5	93866240	79619116	11997658	893122	11	3	3	0	False		0	chain_both_flanks	HG04115#1#JBHDTF010000009.1	88609887-88903009	HG04115#1#JBHDTF010000009.1:88451644-88609887(+,158147bp)	HG04115#1#JBHDTF010000009.1:88903009-89102718(+,199609bp)	
HG04184_pat_hprc_r2_v1.0.1	ok	55	90705478	21695554	24.2	89620436	78094014	9893291	666527	18	3	6	0	True	HG04184#1#JBHDSH010000100.1	1	chain_both_flanks	HG04184#1#CM086456.1	224216413-224282940	HG04184#1#CM086456.1:224058067-224216413(+,158335bp)	HG04184#1#CM086456.1:224282940-224483368(+,199522bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 5813866 bp)
HG04199_pat_hprc_r2_v1.0.1	ok	45	74299791	17383694	17.7	72738851	65389719	6152056	742751	13	3	4	0	True	HG04199#1#JBHDTH010000024.1,HG04199#1#JBHDTH010000092.1	2	chain_both_flanks	HG04199#1#CM086775.1	220321850-220464601	HG04199#1#CM086775.1:220163507-220321850(+,158227bp)	HG04199#1#CM086775.1:220464601-220664211(+,199570bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 502450 bp)
HG02738_pat_hprc_r2_v1.0.1	ok	49	89924547	20200125	28.1	87585584	71699032	15942395	746485	16	1	6	0	True	HG02738#1#JBJXQJ010000034.1,HG02738#1#JBJXQJ010000062.1,HG02738#1#JBJXQJ010000078.1	3	chain_both_flanks	HG02738#1#JBJXQJ010000049.1	216700826-216847311	HG02738#1#JBJXQJ010000049.1:216544051-216700826(+,156703bp)	HG02738#1#JBJXQJ010000049.1:216847311-217046978(+,199547bp)	3 unplaced contig(s) without CenSat rDNA label added by tile screen (3 screened, 554775 bp)
HG00621_pat_hprc_r2_v1.0.1	ok	41	80415796	17397110	20.9	79054599	68214258	9378832	807429	15	0	3	0	True	HG00621#1#JAHBCD020000016.1	1	chain_both_flanks	HG00621#1#CM087847.1	225365734-225573163	HG00621#1#CM087847.1:225207462-225365734(+,158186bp)	HG00621#1#CM087847.1:225573163-225772774(+,199581bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 307394 bp)
HG00741_pat_hprc_r2_v1.0.1	ok	37	78221544	18698246	31.6	77138489	70465730	5123485	1020101	14	4	7	0	True	HG00741#1#JAHALY020000079.1	1	chain_both_flanks	HG00741#1#CM087896.1	230569579-230989680	HG00741#1#CM087896.1:230411246-230569579(+,158206bp)	HG00741#1#CM087896.1:230989680-231190165(+,199493bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 2468998 bp)
HG01106_pat_hprc_r2_v1.0.1	ok	42	78504453	19657615	25.8	65108733	65556306	10124937	891359	16	2	4	2	True	HG01106#1#JAHAMC020000072.1	1	chain_both_flanks	HG01106#1#CM087949.1	228390455-228681814	HG01106#1#CM087949.1:228232150-228390455(+,158224bp)	HG01106#1#CM087949.1:228681814-228881422(+,199578bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (7 screened, 6421797 bp)
HG01175_pat_hprc_r2_v1.0.1	ok	32	81849242	19279045	40.9	72649572	74834922	4592896	809196	10	3	2	0	True	HG01175#1#JAHAMA020000061.1	1	chain_both_flanks	HG01175#1#JAHAMA020000001.1	91308125-91517321	HG01175#1#JAHAMA020000001.1:91149847-91308125(+,158209bp)	HG01175#1#JAHAMA020000001.1:91517321-91717407(+,199374bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (2 screened, 1767730 bp)
HG01258_pat_hprc_r2_v1.0.1	ok	31	80045584	18945065	2.1	65883001	73598752	4065016	769599	16	2	2	0	False		0	chain_both_flanks	HG01258#1#CM088109.1	229193921-229363520	HG01258#1#CM088109.1:229035575-229193921(+,158243bp)	HG01258#1#CM088109.1:229363520-229563900(+,199452bp)	
HG01891_pat_hprc_r2_v1.0.1	ok	39	92552917	21581682	2.4	76530155	77983789	12100332	856569	16	5	6	0	False		0	chain_both_flanks	HG01891#1#JAGYVO020000062.1	90746411-91002980	HG01891#1#JAGYVO020000062.1:90588041-90746411(+,158273bp)	HG01891#1#JAGYVO020000062.1:91002980-91203795(+,199444bp)	
HG01952_pat_hprc_r2_v1.0.1	ok	40	78798664	18531907	4.5	77980165	66974182	8990706	818499	9	2	3	0	False		0	chain_both_flanks	HG01952#1#CM087974.1	219493457-219711956	HG01952#1#CM087974.1:219335140-219493457(+,158219bp)	HG01952#1#CM087974.1:219711956-219911573(+,199585bp)	
HG02148_pat_hprc_r2_v1.0.1	ok	53	89340872	21585216	43.3	77862095	78319740	8639385	769523	21	0	6	0	True	HG02148#1#JAHAMG020000017.1,HG02148#1#JAHAMG020000025.1,HG02148#1#JAHAMG020000043.1,HG02148#1#JAHAMG020000074.1,HG02148#1#JAHAMG020000077.1,HG02148#1#JAHAMG020000082.1	6	chain_both_flanks	HG02148#1#JAHAMG020000001.1	85884782-86054305	HG02148#1#JAHAMG020000001.1:85726458-85884782(+,158247bp)	HG02148#1#JAHAMG020000001.1:86054305-86254686(+,199477bp)	6 unplaced contig(s) without CenSat rDNA label added by tile screen (7 screened, 3620913 bp)
HG02486_pat_hprc_r2_v1.0.1	ok	29	83712950	17469595	2.0	82907612	75435970	5433449	805338	10	0	4	0	False		0	chain_both_flanks	HG02486#1#CM088192.1	223376855-223582193	HG02486#1#CM088192.1:223218513-223376855(+,158263bp)	HG02486#1#CM088192.1:223582193-223782432(+,199450bp)	
HG02559_pat_hprc_r2_v1.0.1	ok	32	74605706	16657655	26.5	73640380	71122193	1088497	782788	17	3	8	0	True	HG02559#1#JAGYVK020000026.1	1	chain_both_flanks	HG02559#1#CM088230.1	224361555-224544343	HG02559#1#CM088230.1:224203199-224361555(+,158242bp)	HG02559#1#CM088230.1:224544343-224745032(+,199871bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (1 screened, 76498 bp)
HG02572_pat_hprc_r2_v1.0.1	ok	32	71186370	16134528	3.0	69807047	63915837	4387603	867654	8	0	1	0	False		0	chain_both_flanks	HG02572#1#JAHAOW020000011.1	90586379-90854033	HG02572#1#JAHAOW020000011.1:90429627-90586379(+,156694bp)	HG02572#1#JAHAOW020000011.1:90854033-91054157(+,199567bp)	
HG02622_pat_hprc_r2_v1.0.1	ok	37	86037099	22309126	27.6	59188706	77991408	5612154	821309	17	1	5	0	True	HG02622#1#JAHAOO020000085.1	1	chain_both_flanks	HG02622#1#JAHAOO020000054.1	82453155-82674464	HG02622#1#JAHAOO020000054.1:82294888-82453155(+,158174bp)	HG02622#1#JAHAOO020000054.1:82674464-82874757(+,199473bp)	1 unplaced contig(s) without CenSat rDNA label added by tile screen (15 screened, 12162597 bp)
HG02886_pat_hprc_r2_v1.0.1	ok	45	73217978	18644505	42.4	72094372	63789002	7020250	796507	15	5	2	0	True	HG02886#1#JAHAOU020000086.1,HG02886#1#JAHAOU020000095.1	2	chain_both_flanks	HG02886#1#JAHAOU020000015.1	89989834-90186341	HG02886#1#JAHAOU020000015.1:89831504-89989834(+,158179bp)	HG02886#1#JAHAOU020000015.1:90186341-90386869(+,199494bp)	2 unplaced contig(s) without CenSat rDNA label added by tile screen (10 screened, 9040097 bp)
