sample	haplotype	hap_index	assembly_name	method	version	phasing	source	total_length	n_contigs	censat_rdna_n	censat_rdna_bp	chr13_contigs	chr13_t2t	chr13_gaps	chr13_n_random	chr13_rdna_bp	chr14_contigs	chr14_t2t	chr14_gaps	chr14_n_random	chr14_rdna_bp	chr15_contigs	chr15_t2t	chr15_gaps	chr15_n_random	chr15_rdna_bp	chr21_contigs	chr21_t2t	chr21_gaps	chr21_n_random	chr21_rdna_bp	chr22_contigs	chr22_t2t	chr22_gaps	chr22_n_random	chr22_rdna_bp	unplaced_rdna_bp	censat_source	missing_files	notes
HG02698	pat	1	HG02698_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2916555126	93	44.0	4835791.0				1	0				7	749906				2	421919				5	819375				1	3055	2823211	local:hprc_censat		
HG03654	pat	1	HG03654_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2918017029	86	35.0	1991008.0				4	381407				1	284466				3	154002				5	140261				4	239674	775921	local:hprc_censat		
HG03669	pat	1	HG03669_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3032439686	122	67.0	3431436.0				2	0				7	449415	HG03669#1#CM086739.1	scaffold	1	2	192254				9	585914				3	502744	1688881	local:hprc_censat		
HG03688	pat	1	HG03688_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2934867679	88	32.0	1743505.0				2	198340				8	254696	HG03688#1#CM086809.1	contig	0	0	151238				2	155269				4	290396	678294	local:hprc_censat		
HG03704	pat	1	HG03704_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3037010997	67	37.0	3750656.0				2	596997				3	564531				2	159455				2	7440				3	599914	1810091	local:hprc_censat		
HG03710	pat	1	HG03710_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2922212188	97	58.0	4980607.0				3	0	HG03710#1#CM086874.1	contig	0	3	261678				3	469499				6	644168				8	1022237	2570808	local:hprc_censat		
HG03831	pat	1	HG03831_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3033693090	82	44.0	2810959.0				1	228723				6	544167				1	65680				4	576450				4	248487	1135225	local:hprc_censat		
HG03927	pat	1	HG03927_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3052668953	113	39.0	2179619.0				8	379782	HG03927#1#JBHDSV010000016.1	contig	0	4	167097				2	249079				4	479740				1	3055	888638	local:hprc_censat		
HG04115	pat	1	HG04115_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2947393700	106	47.0	3491225.0				2	233305				5	460109				2	463294				2	285253				3	293491	1713473	local:hprc_censat		
HG04184	pat	1	HG04184_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3041286288	102	60.0	4121450.0				5	144745				7	964993				1	382984				6	449369				2	48685	2079028	local:hprc_censat		
HG04199	pat	1	HG04199_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2928958187	96	53.0	4583967.0				2	54980				3	154480				4	415592				3	1002025	HG04199#1#CM086788.1	scaffold	1	3	603783	2106618	local:hprc_censat		
HG02738	pat	1	HG02738_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2927203238	86	49.0	4441118.0				1	3078				3	159538				1	11993				8	846510				4	882328	2525454	local:hprc_censat		
HG00621	pat	1	HG00621_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2916144033	73	48.0	3826513.0				3	435425				5	868618				1	343234				4	115606				2	240433	1807920	local:hprc_censat		
HG00741	pat	1	HG00741_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3034007608	80	46.0	4317443.0				2	467861				5	234177				2	284308				2	158721				7	1521388	1638760	local:hprc_censat		
HG01106	pat	1	HG01106_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2934219507	80	46.0	3013518.0				2	0				4	247524				1	176225				6	626027	HG01106#1#CM087962.1	contig	0	4	392282	1556183	local:hprc_censat		
HG01175	pat	1	HG01175_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3033390826	69	38.0	2105354.0				1	97851				6	283176				1	199333				1	144329	HG01175#1#CM087935.1	scaffold	1	3	733208	635229	local:hprc_censat		
HG01258	pat	1	HG01258_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2917123521	67	34.0	2964411.0				7	14879				4	956565	HG01258#1#CM088118.1	contig	0	0	62303				3	592010				3	372171	954266	local:hprc_censat		
HG01891	pat	1	HG01891_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3042586116	104	49.0	3564150.0				2	3078				9	965373				3	331006				1	3077				6	746577	1502812	local:hprc_censat		
HG01952	pat	1	HG01952_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2916550023	81	49.0	5086681.0				1	122650				3	295955				3	1374114				1	687590				3	282469	2308626	local:hprc_censat		
HG02148	pat	1	HG02148_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3029782018	91	48.0	5110611.0				3	1055461				7	1289648				1	11993				4	332307				6	865842	1543136	local:hprc_censat		
HG02486	pat	1	HG02486_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2934042468	59	38.0	2832555.0				1	187077				4	715248				2	390642	HG02486#1#CM088205.1	contig	0	0	231164				2	150312	1107932	s3:working/HPRC/HG02486/assemblies/release2/annotation/censat/HG02486_pat_hprc_r2_v1.cenSat.bed		
HG02559	pat	1	HG02559_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3029726043	66	37.0	3080340.0	HG02559#1#CM088240.1	contig	0	0	140380				10	938409	HG02559#1#CM088241.1	contig	0	1	682561				1	57806				6	575848	673108	s3:working/HPRC/HG02559/assemblies/release2/annotation/censat/HG02559_pat_hprc_r2_v1.cenSat.bed		
HG02572	pat	1	HG02572_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	2927481637	64	39.0	3076885.0	HG02572#1#CM088162.1	contig	0	0	368960				2	285822				2	336091				1	244530				2	185911	1640295	local:hprc_censat		
HG02622	pat	1	HG02622_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3038074426	100	40.0	3171922.0				7	741350				2	59228				1	101356				4	136242				4	854443	1267075	local:hprc_censat		
HG02886	pat	1	HG02886_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3033980100	98	52.0	5185050.0				2	503190				10	540025				4	158246				3	826682				1	506666	2638022	local:hprc_censat		
HG03453	pat	1	HG03453_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3055037310	132	53.0	3037473.0				8	0				3	390847				2	195679				2	352726				1	173559	1912435	local:hprc_censat		
HG03540	pat	1	HG03540_pat_hprc_r2_v1.0.1	hifiasm	0.19.7	trio	hprc	3060546927	130	70.0	5073671.0				3	3078				4	522621				2	20284				3	688492				8	766715	2913845	local:hprc_censat		
HG00099	hap1	1	HG00099_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3036190794	120	75.0	7422199.0				4	0				10	1849035				4	618336				13	2068669				1	231721	2642210	local:hprc_censat		
HG00140	hap1	1	HG00140_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2937713519	85	43.0	6446504.0				3	1160444	HG00140#1#CM087118.1	contig	0	3	907689				2	197099				2	1278684				4	377999	2509291	local:hprc_censat		
HG00280	hap1	1	HG00280_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2930645488	111	54.0	4473528.0				2	86334				8	635025				1	235510				3	238668				3	613822	2648892	local:hprc_censat		
HG00323	hap1	1	HG00323_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3039453116	89	56.0	5557141.0				6	1178094				4	23745				4	572302				8	891590				2	490028	2389163	local:hprc_censat		
HG02040	hap1	1	HG02040_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2937497056	79	48.0	5804734.0				4	10101				2	669049				2	385543				1	740106	HG02040#1#CM087384.1	scaffold	2	1	795096	3189562	local:hprc_censat		
HG02165	hap1	1	HG02165_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3039901087	81	42.0	4821042.0				4	0				3	508628	HG02165#1#CM087450.1	scaffold	1	2	322497				4	1144267	HG02165#1#CM087455.1	contig	0	7	1548702	1284720	local:hprc_censat		
HG02273	hap1	1	HG02273_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3041119961	84	41.0	6231810.0				2	851522				5	609307				5	1647128				4	787822				5	520917	1802886	local:hprc_censat		
HG02922	hap1	1	HG02922_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3054779426	96	57.0	7685958.0				1	98184				5	748732	HG02922#1#CM087005.1	scaffold	1	2	919395				3	598803				1	322918	4205484	local:hprc_censat		
HG02965	hap1	1	HG02965_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2928579478	95	47.0	4811734.0				1	363514	HG02965#1#CM087353.1	scaffold	3	7	1525994				3	11993				6	843180				3	345655	1706123	local:hprc_censat		
HG02976	hap1	1	HG02976_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3035895274	86	56.0	7477702.0				1	324770				5	1100408				2	690388				7	1408093				3	909780	3032035	local:hprc_censat		
HG03130	hap1	1	HG03130_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2965182099	88	36.0	4477575.0	HG03130#1#CM087262.1	contig	0	2	372330				5	249965				1	11993				2	347077	HG03130#1#CM087265.1	contig	0	5	917986	2562947	local:hprc_censat		
HG03195	hap1	1	HG03195_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3036756203	77	46.0	4619837.0				1	589862				9	894998	HG03195#1#CM087064.1	scaffold	2	1	59996				4	187874	HG03195#1#CM087068.1	contig	0	3	948886	1925994	local:hprc_censat		
HG03209	hap1	1	HG03209_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2945862781	66	30.0	2885199.0				2	460759				1	200862	HG03209#1#CM087220.1	contig	0	1	263359	HG03209#1#CM087226.1	contig	0	4	474156				3	541528	932318	local:hprc_censat		
NA18522	hap1	1	NA18522_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2946461234	86	43.0	4876582.0				2	902036				6	251344				2	375909				3	726768				2	285359	2319890	local:hprc_censat		
NA18747	hap1	1	NA18747_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2935934041	76	44.0	4310553.0				2	142497				4	608354				1	194018				3	646965				3	55122	2648320	local:hprc_censat		
NA18971	hap1	1	NA18971_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2941882306	127	50.0	6221712.0				4	583720				7	1305646				1	161206				3	413140	NA18971#1#CM087302.1	scaffold	1	1	998050	2744673	local:hprc_censat		
NA18983	hap1	1	NA18983_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2945953867	112	70.0	7426692.0				6	996563				5	1221906				3	196209				4	159649				5	450065	3975558	local:hprc_censat		
NA19043	hap1	1	NA19043_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2932179058	74	37.0	2879533.0				3	97584	NA19043#1#CM087052.1	scaffold	1	4	527983				1	64616				2	689883	NA19043#1#CM087056.1	contig	0	3	1095828	391433	local:hprc_censat		
NA20905	hap1	1	NA20905_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2916172338	89	48.0	6160165.0				1	186828				6	291711				3	652065				4	1743023				6	614870	2656390	local:hprc_censat		
HG01530	hap1	1	HG01530_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2929677415	90	37.0	4531425.0				3	53890				7	872826				2	106268				3	954913				4	770939	1757312	local:hprc_censat		
HG01784	hap1	1	HG01784_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3044785494	81	35.0	5840195.0				2	145916				4	2011837	HG01784#1#CM087575.1	contig	0	5	63439				5	298643	HG01784#1#CM087580.1	scaffold	1	0	369234	2938898	local:hprc_censat		
HG02391	hap1	1	HG02391_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2943401465	109	61.0	9198363.0				3	212692				6	1776939				3	1837014				4	1454994	HG02391#1#CM087594.1	contig	0	10	661697	3239750	local:hprc_censat		
HG03471	hap1	1	HG03471_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2971533575	129	53.0	5745219.0				6	348586				5	942919				1	8937				4	483936				7	1836517	2109047	s3:working/HPRC/HG03471/assemblies/release2/annotation/censat/HG03471_hap1_hprc_r2_v1.cenSat.bed		
HG03742	hap1	1	HG03742_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	2947572195	93	44.0	4235171.0				2	3078	HG03742#1#CM087635.1	scaffold	1	0	405278				3	375963				5	233928	HG03742#1#CM087640.1	scaffold	1	8	1146882	2054765	local:hprc_censat		
NA18570	hap1	1	NA18570_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3030693438	100	37.0	3955155.0	NA18570#1#CM087666.1	contig	0	3	54730				4	384360	NA18570#1#CM087667.1	scaffold	2	3	732288				5	612947	NA18570#1#CM087672.1	contig	0	5	431178	1727424	local:hprc_censat		
NA19087	hap1	1	NA19087_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3050288669	93	46.0	9140212.0				3	1452228				9	1645352				3	739141				5	1146277				5	1772514	2372472	local:hprc_censat		
NA19185	hap1	1	NA19185_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3037558876	74	47.0	6276967.0	NA19185#1#CM087730.1	contig	0	1	273942				4	1550734				10	99427				2	342499				5	1045132	2953005	local:hprc_censat		
NA19338	hap1	1	NA19338_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3043521817	76	35.0	3844228.0	NA19338#1#CM087765.1	scaffold	2	2	555270	NA19338#1#CM087766.1	contig	0	4	736903				1	11993				1	98978				5	1404386	1024471	local:hprc_censat		
NA19391	hap1	1	NA19391_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3052417325	94	38.0	3788162.0				2	3079	NA19391#1#CM087794.1	contig	0	3	699202				2	159305				3	1003437				3	695519	1215392	local:hprc_censat		
NA19468	hap1	1	NA19468_hap1_hprc_r2_v1.0.1	hifiasm	0.19.9	hic	hprc	3030599104	90	40.0	5323322.0				1	3079				8	738229				2	150649	NA19468#1#CM087829.1	contig	0	0	438663	NA19468#1#CM087830.1	scaffold	1	5	1249545	2734011	local:hprc_censat		
HG00438	pat	1	HG00438_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3030495477	75	44.0	4151195.0				2	364758				3	562259				2	11993				6	747995	HG00438#1#CM089184.1	scaffold	1	2	329167	2122795	local:hprc_censat		
HG00558	pat	1	HG00558_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3047261165	113	36.0	3419050.0	HG00558#1#CM088501.1	contig	0	3	189459				4	515377				3	61915				3	237188				3	971630	1431253	local:hprc_censat		
HG00639	pat	1	HG00639_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3019487537	73	44.0	4930587.0				5	461766	HG00639#1#CM088547.1	scaffold	1	6	1084283				2	1365347				1	242339				6	661341	1103282	local:hprc_censat		
HG00658	pat	1	HG00658_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2934086275	127	49.0	3808421.0				3	3078				3	652898				1	11993				4	391019				3	139355	2594801	local:hprc_censat		
HG00673	pat	1	HG00673_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2941519674	89	30.0	3083244.0				4	324364				2	754300				2	338532				4	382420				1	3055	1265296	local:hprc_censat		
HG01071	pat	1	HG01071_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3047759342	74	51.0	3710293.0				1	232960				4	717807				2	65204				6	91040				4	212499	2191011	local:hprc_censat		
HG01074	pat	1	HG01074_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2928323943	82	46.0	4100621.0				3	506587				5	244140				4	615132				1	51936				5	305095	2362454	local:hprc_censat		
HG01081	pat	1	HG01081_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3034790068	79	39.0	4513924.0				5	1141130				2	376572				1	242221				3	99721				7	1124917	1517135	local:hprc_censat		
HG01123	pat	1	HG01123_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3020299646	79	40.0	3025298.0				4	96174				4	741058				1	238326	HG01123#1#CM089093.1	contig	0	1	339505				2	349951	1248055	s3:working/HPRC/HG01123/assemblies/release2/annotation/censat/HG01123_pat_hprc_r2_v1.cenSat.bed		
HG01150	pat	1	HG01150_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3031853446	117	40.0	6134269.0	HG01150#1#CM088605.1	scaffold	1	1	1721073				5	1226213				1	734783				4	548242				2	53801	1837928	local:hprc_censat		
HG01252	pat	1	HG01252_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2927093043	68	34.0	3706859.0				1	98254				6	1592997				1	333995	HG01252#1#CM088835.1	contig	0	2	612481				3	509849	544005	local:hprc_censat		
HG01358	pat	1	HG01358_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2937739660	83	45.0	4652139.0				1	56989				5	931796				3	288577				2	278894				7	1284639	1795967	local:hprc_censat		
HG01361	pat	1	HG01361_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	3024996016	85	45.0	3739110.0				4	111353				4	369478	HG01361#1#CM089030.1	scaffold	5	0	311328				7	1485600				5	463451	985672	local:hprc_censat		
HG01928	pat	1	HG01928_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2925221426	71	40.0	3638189.0				2	552935				2	68462				3	11993				5	410030				3	603086	1976406	local:hprc_censat		
HG01934	pat	1	HG01934_pat_hprc_r2_v1.0.1	hifiasm	0.19.9	trio	hprc	2938221349	103	50.0	4085730.0				3	272392				5	247320				3	329207				2	152024				5	1100016	1969493	local:hprc_censat		
